date,rank,song,artist,pk
2019-04-06,10,Shallow,Lady Gaga & Bradley Cooper,Shallow_Lady Gaga & Bradley Cooper
2019-04-06,11,Eastside,"benny blanco, Halsey & Khalid","Eastside_benny blanco, Halsey & Khalid"
2019-04-06,12,Going Bad,Meek Mill Featuring Drake,Going Bad_Meek Mill Featuring Drake
2019-04-06,13,High Hopes,Panic! At The Disco,High Hopes_Panic! At The Disco
2019-04-06,14,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored_Ariana Grande"
2019-04-06,15,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road_Lil Nas X Featuring Billy Ray Cyrus
2019-04-06,16,Better,Khalid,Better_Khalid
2019-04-06,17,Dancing With A Stranger,Sam Smith & Normani,Dancing With A Stranger_Sam Smith & Normani
2019-04-06,18,Sicko Mode,Travis Scott,Sicko Mode_Travis Scott
2019-04-06,19,Murder On My Mind,YNW Melly,Murder On My Mind_YNW Melly
2019-04-06,20,Sweet But Psycho,Ava Max,Sweet But Psycho_Ava Max
2019-04-06,21,"Thank U, Next",Ariana Grande,"Thank U, Next_Ariana Grande"
2019-04-06,22,A Lot,21 Savage,A Lot_21 Savage
2019-04-06,23,Girls Like You,Maroon 5 Featuring Cardi B,Girls Like You_Maroon 5 Featuring Cardi B
2019-04-06,24,Be Alright,Dean Lewis,Be Alright_Dean Lewis
2019-04-06,25,Beautiful Crazy,Luke Combs,Beautiful Crazy_Luke Combs
2019-04-06,26,Drip Too Hard,Lil Baby & Gunna,Drip Too Hard_Lil Baby & Gunna
2019-04-06,27,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me_Ellie Goulding X Diplo Featuring Swae Lee
2019-04-06,28,Money,Cardi B,Money_Cardi B
2019-04-06,29,Better Now,Post Malone,Better Now_Post Malone
2019-04-06,30,You Say,Lauren Daigle,You Say_Lauren Daigle
2019-04-06,31,Pure Water,Mustard & Migos,Pure Water_Mustard & Migos
2019-04-06,32,Youngblood,5 Seconds Of Summer,Youngblood_5 Seconds Of Summer
2019-04-06,33,Baby Shark,Pinkfong,Baby Shark_Pinkfong
2019-04-06,34,MIA,Bad Bunny Featuring Drake,MIA_Bad Bunny Featuring Drake
2019-04-06,35,Look Back At It,A Boogie Wit da Hoodie,Look Back At It_A Boogie Wit da Hoodie
2019-04-06,36,Envy Me,Calboy,Envy Me_Calboy
2019-04-06,37,Robbery,Juice WRLD,Robbery_Juice WRLD
2019-04-06,38,ZEZE,Kodak Black Featuring Travis Scott & Offset,ZEZE_Kodak Black Featuring Travis Scott & Offset
2019-04-06,39,Tequila,Dan + Shay,Tequila_Dan + Shay
2019-04-06,40,Talk,Khalid,Talk_Khalid
2019-04-06,41,Bury A Friend,Billie Eilish,Bury A Friend_Billie Eilish
2019-04-06,42,Mixed Personalities,YNW Melly Featuring Kanye West,Mixed Personalities_YNW Melly Featuring Kanye West
2019-04-06,43,Act Up,City Girls,Act Up_City Girls
2019-04-06,44,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin_A Boogie Wit da Hoodie Featuring 6ix9ine
2019-04-06,45,I Like It,"Cardi B, Bad Bunny & J Balvin","I Like It_Cardi B, Bad Bunny & J Balvin"
2019-04-06,46,Put A Date On It,Yo Gotti Featuring Lil Baby,Put A Date On It_Yo Gotti Featuring Lil Baby
2019-04-06,47,Lucid Dreams,Juice WRLD,Lucid Dreams_Juice WRLD
2019-04-06,48,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B","Taki Taki_DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-04-06,49,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,Con Calma_Daddy Yankee & Katy Perry Featuring Snow
2019-04-06,50,Twerk,City Girls Featuring Cardi B,Twerk_City Girls Featuring Cardi B
2019-04-06,51,Here Tonight,Brett Young,Here Tonight_Brett Young
2019-04-06,52,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love_The Chainsmokers Featuring 5 Seconds Of Summer
2019-04-06,53,Here With Me,Marshmello Featuring CHVRCHES,Here With Me_Marshmello Featuring CHVRCHES
2019-04-06,54,Eyes On You,Chase Rice,Eyes On You_Chase Rice
2019-04-06,55,Worth It,YK Osiris,Worth It_YK Osiris
2019-04-06,56,Bad Liar,Imagine Dragons,Bad Liar_Imagine Dragons
2019-04-06,57,Close Friends,Lil Baby,Close Friends_Lil Baby
2019-04-06,58,Girls Need Love,Summer Walker X Drake,Girls Need Love_Summer Walker X Drake
2019-04-06,59,Good As You,Kane Brown,Good As You_Kane Brown
2019-04-06,60,Miss Me More,Kelsea Ballerini,Miss Me More_Kelsea Ballerini
2019-04-06,61,Undrunk,FLETCHER,Undrunk_FLETCHER
2019-04-06,62,Shot Clock,Ella Mai,Shot Clock_Ella Mai
2019-04-06,63,Walk Me Home,P!nk,Walk Me Home_P!nk
2019-04-06,64,Millionaire,Chris Stapleton,Millionaire_Chris Stapleton
2019-04-06,65,Down To The Honkytonk,Jake Owen,Down To The Honkytonk_Jake Owen
2019-04-06,66,Whiskey Glasses,Morgan Wallen,Whiskey Glasses_Morgan Wallen
2019-04-06,67,One That Got Away,Michael Ray,One That Got Away_Michael Ray
2019-04-06,68,This Is It,Scotty McCreery,This Is It_Scotty McCreery
2019-04-06,69,Look What God Gave Her,Thomas Rhett,Look What God Gave Her_Thomas Rhett
2019-04-06,70,Pure Cocaine,Lil Baby,Pure Cocaine_Lil Baby
2019-04-06,71,There Was This Girl,Riley Green,There Was This Girl_Riley Green
2019-04-06,72,Price On My Head,NAV Featuring The Weeknd,Price On My Head_NAV Featuring The Weeknd
2019-04-06,73,Saturday Nights,Khalid & Kane Brown,Saturday Nights_Khalid & Kane Brown
2019-04-06,74,Make It Sweet,Old Dominion,Make It Sweet_Old Dominion
2019-04-06,75,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting_Lil Peep & iLoveMakonnen Featuring Fall Out Boy
2019-04-06,76,Girl Like You,Jason Aldean,Girl Like You_Jason Aldean
2019-04-06,77,GIRL,Maren Morris,GIRL_Maren Morris
2019-04-06,78,Confessions Of A Dangerous Mind,Logic,Confessions Of A Dangerous Mind_Logic
2019-04-06,79,Take It From Me,Jordan Davis,Take It From Me_Jordan Davis
2019-04-06,80,Splashin,Rich The Kid,Splashin_Rich The Kid
2019-04-06,81,Night Shift,Jon Pardi,Night Shift_Jon Pardi
2019-04-06,82,I,Lil Skies,I_Lil Skies
2019-04-06,83,Rumor,Lee Brice,Rumor_Lee Brice
2019-04-06,84,Wish You Were Gay,Billie Eilish,Wish You Were Gay_Billie Eilish
2019-04-06,85,I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin","I Can't Get Enough_benny blanco, Tainy, Selena Gomez & J Balvin"
2019-04-06,86,Hear Me Calling,Juice WRLD,Hear Me Calling_Juice WRLD
2019-04-06,87,Faucet Failure,Ski Mask The Slump God,Faucet Failure_Ski Mask The Slump God
2019-04-06,88,Talk You Out Of It,Florida Georgia Line,Talk You Out Of It_Florida Georgia Line
2019-04-06,89,Tap,NAV Featuring Meek Mill,Tap_NAV Featuring Meek Mill
2019-04-06,90,Calma,Pedro Capo X Farruko,Calma_Pedro Capo X Farruko
2019-04-06,91,Undecided,Chris Brown,Undecided_Chris Brown
2019-04-06,92,On My Way To You,Cody Johnson,On My Way To You_Cody Johnson
2019-04-06,93,Secreto,Anuel AA & Karol G,Secreto_Anuel AA & Karol G
2019-04-06,94,Calling My Spirit,Kodak Black,Calling My Spirit_Kodak Black
2019-04-06,95,Pop Out,Polo G Featuring Lil Tjay,Pop Out_Polo G Featuring Lil Tjay
2019-04-06,96,Lovely,Billie Eilish & Khalid,Lovely_Billie Eilish & Khalid
2019-04-06,97,Don't Call Me Up,Mabel,Don't Call Me Up_Mabel
2019-04-06,98,Last Hurrah,Bebe Rexha,Last Hurrah_Bebe Rexha
2019-04-06,99,Empty,Juice WRLD,Empty_Juice WRLD
2019-04-06,100,Love Wins,Carrie Underwood,Love Wins_Carrie Underwood
2019-03-30,1,7 Rings,Ariana Grande,7 Rings_Ariana Grande
2019-03-30,2,Without Me,Halsey,Without Me_Halsey
2019-03-30,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)_Post Malone & Swae Lee
2019-03-30,4,Wow.,Post Malone,Wow._Post Malone
2019-03-30,5,Please Me,Cardi B & Bruno Mars,Please Me_Cardi B & Bruno Mars
2019-03-30,6,Happier,Marshmello & Bastille,Happier_Marshmello & Bastille
2019-03-30,7,Shallow,Lady Gaga & Bradley Cooper,Shallow_Lady Gaga & Bradley Cooper
2019-03-30,8,Sucker,Jonas Brothers,Sucker_Jonas Brothers
2019-03-30,9,Middle Child,J. Cole,Middle Child_J. Cole
2019-03-30,10,Going Bad,Meek Mill Featuring Drake,Going Bad_Meek Mill Featuring Drake
2019-03-30,11,Thotiana,Blueface,Thotiana_Blueface
2019-03-30,12,Eastside,"benny blanco, Halsey & Khalid","Eastside_benny blanco, Halsey & Khalid"
2019-03-30,13,Sicko Mode,Travis Scott,Sicko Mode_Travis Scott
2019-03-30,14,High Hopes,Panic! At The Disco,High Hopes_Panic! At The Disco
2019-03-30,15,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored_Ariana Grande"
2019-03-30,16,Murder On My Mind,YNW Melly,Murder On My Mind_YNW Melly
2019-03-30,17,Dancing With A Stranger,Sam Smith & Normani,Dancing With A Stranger_Sam Smith & Normani
2019-03-30,18,Better,Khalid,Better_Khalid
2019-03-30,19,"Thank U, Next",Ariana Grande,"Thank U, Next_Ariana Grande"
2019-03-30,20,Sweet But Psycho,Ava Max,Sweet But Psycho_Ava Max
2019-03-30,21,A Lot,21 Savage,A Lot_21 Savage
2019-03-30,22,Girls Like You,Maroon 5 Featuring Cardi B,Girls Like You_Maroon 5 Featuring Cardi B
2019-03-30,23,Be Alright,Dean Lewis,Be Alright_Dean Lewis
2019-03-30,24,Drip Too Hard,Lil Baby & Gunna,Drip Too Hard_Lil Baby & Gunna
2019-03-30,25,Beautiful Crazy,Luke Combs,Beautiful Crazy_Luke Combs
2019-03-30,26,Money,Cardi B,Money_Cardi B
2019-03-30,27,Better Now,Post Malone,Better Now_Post Malone
2019-03-30,28,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me_Ellie Goulding X Diplo Featuring Swae Lee
2019-03-30,29,You Say,Lauren Daigle,You Say_Lauren Daigle
2019-03-30,30,MIA,Bad Bunny Featuring Drake,MIA_Bad Bunny Featuring Drake
2019-03-30,31,ZEZE,Kodak Black Featuring Travis Scott & Offset,ZEZE_Kodak Black Featuring Travis Scott & Offset
2019-03-30,32,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road_Lil Nas X Featuring Billy Ray Cyrus
2019-03-30,33,Youngblood,5 Seconds Of Summer,Youngblood_5 Seconds Of Summer
2019-03-30,34,Pure Water,Mustard & Migos,Pure Water_Mustard & Migos
2019-03-30,35,Robbery,Juice WRLD,Robbery_Juice WRLD
2019-03-30,36,Look Back At It,A Boogie Wit da Hoodie,Look Back At It_A Boogie Wit da Hoodie
2019-03-30,37,Baby Shark,Pinkfong,Baby Shark_Pinkfong
2019-03-30,38,Tequila,Dan + Shay,Tequila_Dan + Shay
2019-03-30,39,Envy Me,Calboy,Envy Me_Calboy
2019-03-30,40,Lucid Dreams,Juice WRLD,Lucid Dreams_Juice WRLD
2019-03-30,41,Talk,Khalid,Talk_Khalid
2019-03-30,42,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B","Taki Taki_DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-03-30,43,Mixed Personalities,YNW Melly Featuring Kanye West,Mixed Personalities_YNW Melly Featuring Kanye West
2019-03-30,44,I Like It,"Cardi B, Bad Bunny & J Balvin","I Like It_Cardi B, Bad Bunny & J Balvin"
2019-03-30,45,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin_A Boogie Wit da Hoodie Featuring 6ix9ine
2019-03-30,46,Bury A Friend,Billie Eilish,Bury A Friend_Billie Eilish
2019-03-30,47,Millionaire,Chris Stapleton,Millionaire_Chris Stapleton
2019-03-30,48,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,Con Calma_Daddy Yankee & Katy Perry Featuring Snow
2019-03-30,49,Put A Date On It,Yo Gotti Featuring Lil Baby,Put A Date On It_Yo Gotti Featuring Lil Baby
2019-03-30,50,Act Up,City Girls,Act Up_City Girls
2019-03-30,51,Twerk,City Girls Featuring Cardi B,Twerk_City Girls Featuring Cardi B
2019-03-30,52,Girls Need Love,Summer Walker X Drake,Girls Need Love_Summer Walker X Drake
2019-03-30,53,Here Tonight,Brett Young,Here Tonight_Brett Young
2019-03-30,54,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love_The Chainsmokers Featuring 5 Seconds Of Summer
2019-03-30,55,Numb Numb Juice,ScHoolboy Q,Numb Numb Juice_ScHoolboy Q
2019-03-30,56,Worth It,YK Osiris,Worth It_YK Osiris
2019-03-30,57,Pure Cocaine,Lil Baby,Pure Cocaine_Lil Baby
2019-03-30,58,Close Friends,Lil Baby,Close Friends_Lil Baby
2019-03-30,59,Bad Liar,Imagine Dragons,Bad Liar_Imagine Dragons
2019-03-30,60,Hear Me Calling,Juice WRLD,Hear Me Calling_Juice WRLD
2019-03-30,61,Eyes On You,Chase Rice,Eyes On You_Chase Rice
2019-03-30,62,Sally Walker,Iggy Azalea,Sally Walker_Iggy Azalea
2019-03-30,63,Take It From Me,Jordan Davis,Take It From Me_Jordan Davis
2019-03-30,64,This Is It,Scotty McCreery,This Is It_Scotty McCreery
2019-03-30,65,Shot Clock,Ella Mai,Shot Clock_Ella Mai
2019-03-30,66,I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin","I Can't Get Enough_benny blanco, Tainy, Selena Gomez & J Balvin"
2019-03-30,67,Empty,Juice WRLD,Empty_Juice WRLD
2019-03-30,68,Undrunk,FLETCHER,Undrunk_FLETCHER
2019-03-30,69,Good As You,Kane Brown,Good As You_Kane Brown
2019-03-30,70,Saturday Nights,Khalid & Kane Brown,Saturday Nights_Khalid & Kane Brown
2019-03-30,71,I,Lil Skies,I_Lil Skies
2019-03-30,72,There Was This Girl,Riley Green,There Was This Girl_Riley Green
2019-03-30,73,Undecided,Chris Brown,Undecided_Chris Brown
2019-03-30,74,Girl Like You,Jason Aldean,Girl Like You_Jason Aldean
2019-03-30,75,Whiskey Glasses,Morgan Wallen,Whiskey Glasses_Morgan Wallen
2019-03-30,76,Make It Sweet,Old Dominion,Make It Sweet_Old Dominion
2019-03-30,77,Miss Me More,Kelsea Ballerini,Miss Me More_Kelsea Ballerini
2019-03-30,78,One That Got Away,Michael Ray,One That Got Away_Michael Ray
2019-03-30,79,Here With Me,Marshmello Featuring CHVRCHES,Here With Me_Marshmello Featuring CHVRCHES
2019-03-30,80,Look What God Gave Her,Thomas Rhett,Look What God Gave Her_Thomas Rhett
2019-03-30,81,Down To The Honkytonk,Jake Owen,Down To The Honkytonk_Jake Owen
2019-03-30,82,GIRL,Maren Morris,GIRL_Maren Morris
2019-03-30,83,Ella Quiere Beber,Anuel AA & Romeo Santos,Ella Quiere Beber_Anuel AA & Romeo Santos
2019-03-30,84,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting_Lil Peep & iLoveMakonnen Featuring Fall Out Boy
2019-03-30,85,Night Shift,Jon Pardi,Night Shift_Jon Pardi
2019-03-30,86,Fast,Juice WRLD,Fast_Juice WRLD
2019-03-30,87,Wish You Were Gay,Billie Eilish,Wish You Were Gay_Billie Eilish
2019-03-30,88,Rumor,Lee Brice,Rumor_Lee Brice
2019-03-30,89,Walk Me Home,P!nk,Walk Me Home_P!nk
2019-03-30,90,Faucet Failure,Ski Mask The Slump God,Faucet Failure_Ski Mask The Slump God
2019-03-30,91,Calma,Pedro Capo X Farruko,Calma_Pedro Capo X Farruko
2019-03-30,92,Calling My Spirit,Kodak Black,Calling My Spirit_Kodak Black
2019-03-30,93,Talk You Out Of It,Florida Georgia Line,Talk You Out Of It_Florida Georgia Line
2019-03-30,94,Secreto,Anuel AA & Karol G,Secreto_Anuel AA & Karol G
2019-03-30,95,On My Way To You,Cody Johnson,On My Way To You_Cody Johnson
2019-03-30,96,Slow Dancing In The Dark,Joji,Slow Dancing In The Dark_Joji
2019-03-30,97,Let Me Down Slowly,Alec Benjamin + Alessia Cara,Let Me Down Slowly_Alec Benjamin + Alessia Cara
2019-03-30,98,Lovely,Billie Eilish & Khalid,Lovely_Billie Eilish & Khalid
2019-03-30,99,My Bad,Khalid,My Bad_Khalid
2019-03-30,100,Love Wins,Carrie Underwood,Love Wins_Carrie Underwood
2019-03-23,1,7 Rings,Ariana Grande,7 Rings_Ariana Grande
2019-03-23,2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)_Post Malone & Swae Lee
2019-03-23,3,Without Me,Halsey,Without Me_Halsey
2019-03-23,4,Please Me,Cardi B & Bruno Mars,Please Me_Cardi B & Bruno Mars
2019-03-23,5,Wow.,Post Malone,Wow._Post Malone
2019-03-23,6,Sucker,Jonas Brothers,Sucker_Jonas Brothers
2019-03-23,7,Happier,Marshmello & Bastille,Happier_Marshmello & Bastille
2019-03-23,8,Middle Child,J. Cole,Middle Child_J. Cole
2019-03-23,9,Shallow,Lady Gaga & Bradley Cooper,Shallow_Lady Gaga & Bradley Cooper
2019-03-23,10,Sicko Mode,Travis Scott,Sicko Mode_Travis Scott
2019-03-23,11,Thotiana,Blueface,Thotiana_Blueface
2019-03-23,12,High Hopes,Panic! At The Disco,High Hopes_Panic! At The Disco
2019-03-23,13,Eastside,"benny blanco, Halsey & Khalid","Eastside_benny blanco, Halsey & Khalid"
2019-03-23,14,Going Bad,Meek Mill Featuring Drake,Going Bad_Meek Mill Featuring Drake
2019-03-23,15,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored_Ariana Grande"
2019-03-23,16,"Thank U, Next",Ariana Grande,"Thank U, Next_Ariana Grande"
2019-03-23,17,Murder On My Mind,YNW Melly,Murder On My Mind_YNW Melly
2019-03-23,18,Dancing With A Stranger,Sam Smith & Normani,Dancing With A Stranger_Sam Smith & Normani
2019-03-23,19,Better,Khalid,Better_Khalid
2019-03-23,20,Girls Like You,Maroon 5 Featuring Cardi B,Girls Like You_Maroon 5 Featuring Cardi B
2019-03-23,21,A Lot,21 Savage,A Lot_21 Savage
2019-03-23,22,Sweet But Psycho,Ava Max,Sweet But Psycho_Ava Max
2019-03-23,23,Money,Cardi B,Money_Cardi B
2019-03-23,24,Drip Too Hard,Lil Baby & Gunna,Drip Too Hard_Lil Baby & Gunna
2019-03-23,25,Be Alright,Dean Lewis,Be Alright_Dean Lewis
2019-03-23,26,Beautiful Crazy,Luke Combs,Beautiful Crazy_Luke Combs
2019-03-23,27,Robbery,Juice WRLD,Robbery_Juice WRLD
2019-03-23,28,MIA,Bad Bunny Featuring Drake,MIA_Bad Bunny Featuring Drake
2019-03-23,29,ZEZE,Kodak Black Featuring Travis Scott & Offset,ZEZE_Kodak Black Featuring Travis Scott & Offset
2019-03-23,30,Better Now,Post Malone,Better Now_Post Malone
2019-03-23,31,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me_Ellie Goulding X Diplo Featuring Swae Lee
2019-03-23,32,You Say,Lauren Daigle,You Say_Lauren Daigle
2019-03-23,33,Youngblood,5 Seconds Of Summer,Youngblood_5 Seconds Of Summer
2019-03-23,34,Tequila,Dan + Shay,Tequila_Dan + Shay
2019-03-23,35,Baby Shark,Pinkfong,Baby Shark_Pinkfong
2019-03-23,36,Look Back At It,A Boogie Wit da Hoodie,Look Back At It_A Boogie Wit da Hoodie
2019-03-23,37,Lucid Dreams,Juice WRLD,Lucid Dreams_Juice WRLD
2019-03-23,38,Hear Me Calling,Juice WRLD,Hear Me Calling_Juice WRLD
2019-03-23,39,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B","Taki Taki_DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-03-23,40,Pure Water,Mustard & Migos,Pure Water_Mustard & Migos
2019-03-23,41,Empty,Juice WRLD,Empty_Juice WRLD
2019-03-23,42,Talk,Khalid,Talk_Khalid
2019-03-23,43,Envy Me,Calboy,Envy Me_Calboy
2019-03-23,44,I Like It,"Cardi B, Bad Bunny & J Balvin","I Like It_Cardi B, Bad Bunny & J Balvin"
2019-03-23,45,Bury A Friend,Billie Eilish,Bury A Friend_Billie Eilish
2019-03-23,46,Mixed Personalities,YNW Melly Featuring Kanye West,Mixed Personalities_YNW Melly Featuring Kanye West
2019-03-23,47,Fast,Juice WRLD,Fast_Juice WRLD
2019-03-23,48,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky_Gucci Mane X Bruno Mars X Kodak Black
2019-03-23,49,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin_A Boogie Wit da Hoodie Featuring 6ix9ine
2019-03-23,50,Twerk,City Girls Featuring Cardi B,Twerk_City Girls Featuring Cardi B
2019-03-23,51,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road_Lil Nas X Featuring Billy Ray Cyrus
2019-03-23,52,Girls Need Love,Summer Walker X Drake,Girls Need Love_Summer Walker X Drake
2019-03-23,53,Millionaire,Chris Stapleton,Millionaire_Chris Stapleton
2019-03-23,54,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,Con Calma_Daddy Yankee & Katy Perry Featuring Snow
2019-03-23,55,This Is It,Scotty McCreery,This Is It_Scotty McCreery
2019-03-23,56,Put A Date On It,Yo Gotti Featuring Lil Baby,Put A Date On It_Yo Gotti Featuring Lil Baby
2019-03-23,57,I,Lil Skies,I_Lil Skies
2019-03-23,58,Take It From Me,Jordan Davis,Take It From Me_Jordan Davis
2019-03-23,59,Wish You Were Gay,Billie Eilish,Wish You Were Gay_Billie Eilish
2019-03-23,60,Here Tonight,Brett Young,Here Tonight_Brett Young
2019-03-23,61,GIRL,Maren Morris,GIRL_Maren Morris
2019-03-23,62,Worth It,YK Osiris,Worth It_YK Osiris
2019-03-23,63,Act Up,City Girls,Act Up_City Girls
2019-03-23,64,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love_The Chainsmokers Featuring 5 Seconds Of Summer
2019-03-23,65,Maze,Juice WRLD,Maze_Juice WRLD
2019-03-23,66,Close Friends,Lil Baby,Close Friends_Lil Baby
2019-03-23,67,Undecided,Chris Brown,Undecided_Chris Brown
2019-03-23,68,Girl Like You,Jason Aldean,Girl Like You_Jason Aldean
2019-03-23,69,Eyes On You,Chase Rice,Eyes On You_Chase Rice
2019-03-23,70,Bad Liar,Imagine Dragons,Bad Liar_Imagine Dragons
2019-03-23,71,Shot Clock,Ella Mai,Shot Clock_Ella Mai
2019-03-23,72,Pure Cocaine,Lil Baby,Pure Cocaine_Lil Baby
2019-03-23,73,Good As You,Kane Brown,Good As You_Kane Brown
2019-03-23,74,There Was This Girl,Riley Green,There Was This Girl_Riley Green
2019-03-23,75,Here With Me,Marshmello Featuring CHVRCHES,Here With Me_Marshmello Featuring CHVRCHES
2019-03-23,76,Down To The Honkytonk,Jake Owen,Down To The Honkytonk_Jake Owen
2019-03-23,77,My Bad,Khalid,My Bad_Khalid
2019-03-23,78,Saturday Nights,Khalid & Kane Brown,Saturday Nights_Khalid & Kane Brown
2019-03-23,79,Make It Sweet,Old Dominion,Make It Sweet_Old Dominion
2019-03-23,80,Whiskey Glasses,Morgan Wallen,Whiskey Glasses_Morgan Wallen
2019-03-23,81,Ella Quiere Beber,Anuel AA & Romeo Santos,Ella Quiere Beber_Anuel AA & Romeo Santos
2019-03-23,82,Look What God Gave Her,Thomas Rhett,Look What God Gave Her_Thomas Rhett
2019-03-23,83,Miss Me More,Kelsea Ballerini,Miss Me More_Kelsea Ballerini
2019-03-23,84,One That Got Away,Michael Ray,One That Got Away_Michael Ray
2019-03-23,85,Undrunk,FLETCHER,Undrunk_FLETCHER
2019-03-23,86,Night Shift,Jon Pardi,Night Shift_Jon Pardi
2019-03-23,87,Calling My Spirit,Kodak Black,Calling My Spirit_Kodak Black
2019-03-23,88,Rumor,Lee Brice,Rumor_Lee Brice
2019-03-23,89,Secreto,Anuel AA & Karol G,Secreto_Anuel AA & Karol G
2019-03-23,90,What Makes You Country,Luke Bryan,What Makes You Country_Luke Bryan
2019-03-23,91,Flaws And Sins,Juice WRLD,Flaws And Sins_Juice WRLD
2019-03-23,92,Calma,Pedro Capo X Farruko,Calma_Pedro Capo X Farruko
2019-03-23,93,Lovely,Billie Eilish & Khalid,Lovely_Billie Eilish & Khalid
2019-03-23,94,When The Party's Over,Billie Eilish,When The Party's Over_Billie Eilish
